activity_id,ActivityLocation,StartTime,EndTime,ActivityDuration(hr),Labelled_SAs,Labelled_Acts,Arts & Entertainment,Colleges & Universities,Eating,Nightlife Spots,Outdoors & Recreation,Professional & Other Places,Residences,Shopping,Travel & Transport
1565,London Bridge,8,18,10,W,1,3,5,91,4,25,13,40,60,91
1567,London Bridge,9,18,9,W,1,4,8,101,7,31,15,40,66,91
1570,London Bridge,8,15,7,W,1,3,5,91,4,25,13,40,60,91
1574,London Bridge,9,18,9,W,1,4,8,101,7,31,15,40,66,91
1577,London Bridge,9,18,9,W,1,3,5,86,4,25,13,40,57,91
2505,Shepherds Bush,9,18,9,W,1,8,1,86,20,5,7,21,19,75
2505,Shepherds Bush,9,18,9,W,1,8,1,86,20,5,7,21,19,75
1395,Bond Street,9,18,9,W,1,8,8,13,35,21,42,53,1,119
1454,Leicester Square,8,18,10,W,1,21,6,171,14,48,48,29,79,197
1455,Leicester Square,8,19,11,W,1,21,6,156,14,48,48,29,77,197
1456,Leicester Square,8,19,11,W,1,21,6,156,14,48,48,29,77,197
1457,Leicester Square,8,18,10,W,1,21,6,171,14,48,48,29,79,197
1458,Leicester Square,10,23,13,W,1,21,6,156,14,48,48,29,77,197
1459,Leicester Square,8,21,13,W,1,21,5,97,14,48,48,29,55,197
1460,Leicester Square,8,20,12,W,1,21,5,107,14,48,48,29,73,197
1461,Leicester Square,8,18,10,W,1,21,6,171,14,48,48,29,79,197
1462,Leicester Square,8,19,11,W,1,21,6,156,14,48,48,29,77,197
1463,Leicester Square,8,18,10,W,1,21,6,171,14,48,48,29,79,197
1464,Leicester Square,8,18,10,W,1,21,6,171,14,48,48,29,79,197
1465,Leicester Square,8,18,10,W,1,21,6,171,14,48,48,29,79,197
1467,Leicester Square,8,18,10,W,1,21,6,171,14,48,48,29,79,197
1468,Leicester Square,8,18,10,W,1,21,6,171,14,48,48,29,79,197
1469,Leicester Square,8,20,12,W,1,21,5,107,14,48,48,29,73,197
1470,Leicester Square,8,18,10,W,1,21,6,171,14,48,48,29,79,197
1471,Leicester Square,8,18,10,W,1,21,6,171,14,48,48,29,79,197
1472,Leicester Square,10,23,13,W,1,21,6,171,14,48,48,29,79,197
1473,Leicester Square,8,18,10,W,1,21,6,171,14,48,48,29,79,197
1474,Leicester Square,8,18,10,W,1,21,6,171,14,48,48,29,79,197
1475,Leicester Square,8,18,10,W,1,21,6,171,14,48,48,29,79,197
1477,Leicester Square,8,18,10,W,1,21,6,171,14,48,48,29,79,197
1478,Leicester Square,8,19,11,W,1,21,6,156,14,48,48,29,77,197
1479,Leicester Square,8,19,11,W,1,21,6,156,14,48,48,29,77,197
1480,Leicester Square,8,18,10,W,1,21,6,171,14,48,48,29,79,197
1487,Embankment,7,16,9,W,1,9,5,21,0,33,48,19,30,153
1488,Embankment,8,16,8,W,1,9,5,101,6,36,55,19,58,153
1489,Embankment,10,23,13,W,1,9,5,21,0,33,48,19,30,153
1491,Embankment,7,16,9,W,1,9,5,21,0,33,48,19,30,153
1493,Embankment,7,16,9,W,1,9,5,21,0,33,48,19,30,153
1494,Embankment,7,20,13,W,1,9,5,18,0,33,37,19,30,153
1495,Embankment,7,15,8,W,1,9,5,21,0,33,48,19,30,153
1496,Embankment,7,16,9,W,1,9,5,21,0,33,48,19,30,153
1497,Embankment,7,18,11,W,1,9,5,21,0,33,37,19,30,153
1498,Embankment,14,21,7,W,1,61,7,307,126,36,48,19,42,153
1499,Embankment,15,23,8,W,1,50,7,52,34,34,43,19,4,150
1500,Embankment,7,16,9,W,1,9,5,21,0,33,48,19,30,153
1501,Embankment,15,23,8,W,1,50,7,52,34,34,43,19,4,150
1502,Embankment,10,23,13,W,1,7,7,12,11,34,43,19,4,150
1503,Embankment,7,16,9,W,1,9,5,21,0,33,48,19,30,153
1536,Oxford Circus,8,17,9,W,1,5,4,151,4,21,58,37,68,153
1537,Oxford Circus,13,22,9,W,1,21,11,306,134,19,45,37,26,153
1538,Oxford Circus,10,19,9,W,1,7,24,177,17,22,102,37,129,153
1539,Oxford Circus,7,16,9,W,1,20,24,135,25,22,46,37,140,153
1540,Oxford Circus,13,22,9,W,1,21,11,306,134,19,45,37,26,153
1541,Oxford Circus,13,22,9,W,1,21,11,306,134,19,45,37,26,153
1542,Oxford Circus,10,19,9,W,1,7,24,177,17,22,102,37,129,153
1543,Oxford Circus,8,17,9,W,1,5,4,151,4,21,58,37,68,153
1544,Oxford Circus,13,22,9,W,1,21,11,306,134,19,45,37,26,153
1545,Oxford Circus,9,20,11,W,1,5,19,118,12,21,44,37,56,153
1546,Oxford Circus,7,17,10,W,1,5,4,27,1,19,54,37,33,153
1547,Oxford Circus,9,21,12,W,1,5,12,106,12,21,44,37,38,153
1548,Oxford Circus,10,20,10,W,1,5,24,127,17,22,45,37,91,153
1549,Oxford Circus,13,22,9,W,1,21,11,306,134,19,45,37,26,153
1550,Oxford Circus,7,16,9,W,1,21,11,306,134,19,45,37,26,153
1551,Oxford Circus,11,20,9,W,1,20,24,135,25,22,46,37,140,153
1552,Oxford Circus,13,22,9,W,1,21,11,306,134,19,45,37,26,153
1554,Oxford Circus,8,17,9,W,1,5,4,151,4,21,58,37,68,153
1555,Oxford Circus,10,19,9,W,1,7,24,177,17,22,102,37,129,153
1556,Oxford Circus,14,21,7,W,1,20,12,118,25,22,46,37,57,153
1557,Oxford Circus,13,22,9,W,1,21,11,306,134,19,45,37,26,153
1558,Oxford Circus,12,22,10,W,1,20,11,122,41,19,45,37,26,153
1559,Oxford Circus,12,22,10,W,1,20,11,122,41,19,45,37,26,153
1560,Oxford Circus,11,20,9,W,1,20,24,135,25,22,46,37,140,153
1561,Oxford Circus,13,23,10,W,1,15,11,55,44,19,43,37,7,151
1562,Oxford Circus,10,19,9,W,1,7,24,177,17,22,102,37,129,153
1563,Oxford Circus,8,17,9,W,1,5,4,151,4,21,58,37,68,153
1564,Oxford Circus,8,18,10,W,1,5,4,143,4,21,43,37,68,153
1565,Oxford Circus,13,23,10,W,1,15,11,55,44,19,43,37,7,151
1566,Oxford Circus,14,23,9,W,1,15,11,55,44,19,43,37,7,151
1567,Oxford Circus,9,19,10,W,1,5,19,166,12,21,44,37,66,153
1568,Oxford Circus,7,16,9,W,1,21,11,306,134,19,45,37,26,153
1569,Oxford Circus,13,22,9,W,1,21,11,306,134,19,45,37,26,153
1570,Oxford Circus,11,20,9,W,1,20,24,135,25,22,46,37,140,153
1571,Angel,9,16,7,W,1,1,23,70,3,24,18,26,52,60
1572,Angel,9,18,9,W,1,1,21,35,3,24,11,26,49,59
1573,Angel,9,18,9,W,1,1,21,35,3,24,11,26,49,59
1574,Angel,9,16,7,W,1,1,23,70,3,24,18,26,52,60
1576,Angel,9,16,7,W,1,1,23,70,3,24,18,26,52,60
1577,Angel,9,17,8,W,1,1,23,67,3,24,17,26,52,60
1578,Angel,9,17,8,W,1,1,23,67,3,24,17,26,52,60
1579,Angel,9,16,7,W,1,1,23,70,3,24,18,26,52,60
1580,Angel,8,17,9,W,1,1,6,33,2,19,16,26,38,59
1581,Angel,8,19,11,W,1,1,6,27,2,19,11,26,34,59
1582,Angel,9,17,8,W,1,1,23,67,3,24,17,26,52,60
1583,Angel,9,19,10,W,1,1,21,33,3,19,11,26,41,59
1584,Angel,9,16,7,W,1,1,23,70,3,24,18,26,52,60
1585,Angel,9,17,8,W,1,1,23,67,3,24,17,26,52,60
1586,Angel,7,16,9,W,1,1,6,16,2,18,11,26,30,59
1587,Angel,9,17,8,W,1,1,23,67,3,24,17,26,52,60
1588,Angel,9,16,7,W,1,1,23,70,3,24,18,26,52,60
1589,Warren Street,8,19,11,W,1,6,20,76,5,25,19,73,62,127
1590,Warren Street,8,17,9,W,1,7,20,90,5,25,30,73,67,127
1591,Warren Street,8,17,9,W,1,7,20,90,5,25,30,73,67,127
1592,Warren Street,8,18,10,W,1,6,20,82,5,25,19,73,67,127
1593,Warren Street,8,18,10,W,1,6,20,82,5,25,19,73,67,127
1594,Warren Street,8,18,10,W,1,6,20,82,5,25,19,73,67,127
1595,Warren Street,8,18,10,W,1,6,20,82,5,25,19,73,67,127
1596,Warren Street,8,18,10,W,1,6,20,82,5,25,19,73,67,127
1597,Warren Street,9,18,9,W,1,6,52,97,12,26,20,73,79,127
1598,Warren Street,8,18,10,W,1,6,20,82,5,25,19,73,67,127
1599,Warren Street,14,21,7,W,1,6,20,82,5,25,19,73,67,127
1600,Warren Street,8,18,10,W,1,6,20,82,5,25,19,73,67,127
1602,Warren Street,8,18,10,W,1,6,20,82,5,25,19,73,67,127
1603,Warren Street,8,18,10,W,1,6,20,82,5,25,19,73,67,127
1604,Warren Street,8,18,10,W,1,6,20,82,5,25,19,73,67,127
1605,Warren Street,8,19,11,W,1,6,20,76,5,25,19,73,62,127
1606,Warren Street,8,18,10,W,1,6,20,82,5,25,19,73,67,127
1607,Warren Street,7,16,9,W,1,6,20,82,5,25,19,73,67,127
1608,Warren Street,8,19,11,W,1,6,20,76,5,25,19,73,62,127
1609,Warren Street,8,20,12,W,1,6,20,40,5,25,19,73,57,127
1610,Warren Street,8,19,11,W,1,6,20,76,5,25,19,73,62,127
1611,Warren Street,8,20,12,W,1,6,20,40,5,25,19,73,57,127
1612,Warren Street,8,19,11,W,1,6,20,76,5,25,19,73,62,127
1613,Hyde Park Corner,8,17,9,W,1,8,0,16,4,21,60,16,20,75
1614,Hyde Park Corner,8,17,9,W,1,8,0,16,4,21,60,16,20,75
1615,Hyde Park Corner,8,17,9,W,1,8,0,16,4,21,60,16,20,75
1616,Hyde Park Corner,8,17,9,W,1,8,0,16,4,21,60,16,20,75
1617,Hyde Park Corner,8,15,7,W,1,8,0,17,4,21,60,16,20,75
1618,Hyde Park Corner,8,17,9,W,1,8,0,16,4,21,60,16,20,75
1619,Hyde Park Corner,8,17,9,W,1,8,0,16,4,21,60,16,20,75
1620,Hyde Park Corner,8,17,9,W,1,8,0,16,4,21,60,16,20,75
1621,Hyde Park Corner,8,17,9,W,1,8,0,16,4,21,60,16,20,75
1622,Hyde Park Corner,9,17,8,W,1,8,4,33,14,23,60,16,22,75
1674,Walthamstow Central,11,18,7,W,1,7,0,54,2,8,13,0,79,32
1675,Walthamstow Central,11,18,7,W,1,7,0,54,2,8,13,0,79,32
1677,Walthamstow Central,7,16,9,W,1,7,0,53,2,8,13,0,46,31
1678,Walthamstow Central,11,18,7,W,1,7,0,54,2,8,13,0,79,32
1679,Walthamstow Central,11,18,7,W,1,7,0,54,2,8,13,0,79,32
1680,Walthamstow Central,12,19,7,W,1,7,0,53,2,8,13,0,46,31
1681,Walthamstow Central,12,19,7,W,1,7,0,53,2,8,13,0,46,31
1682,Walthamstow Central,11,18,7,W,1,7,0,54,2,8,13,0,79,32
1683,Walthamstow Central,12,19,7,W,1,7,0,53,2,8,13,0,46,31
1684,Walthamstow Central,12,19,7,W,1,7,0,53,2,8,13,0,46,31
1685,Walthamstow Central,12,19,7,W,1,7,0,85,6,8,13,0,46,31
1686,Walthamstow Central,11,18,7,W,1,7,0,54,2,8,13,0,79,32
1687,Walthamstow Central,11,18,7,W,1,7,0,54,2,8,13,0,79,32
1688,Walthamstow Central,12,19,7,W,1,7,0,53,2,8,13,0,46,31
1689,Walthamstow Central,12,19,7,W,1,7,0,53,2,8,13,0,46,31
1690,Walthamstow Central,12,19,7,W,1,7,0,53,2,8,13,0,46,31
1691,Walthamstow Central,12,19,7,W,1,7,0,53,2,8,13,0,46,31
1692,Walthamstow Central,12,20,8,W,1,7,0,31,2,8,6,0,34,31
1693,Walthamstow Central,12,19,7,W,1,7,0,53,2,8,13,0,46,31
1694,Walthamstow Central,12,19,7,W,1,7,0,53,2,8,13,0,46,31
