activity_id,ActivityLocation,StartTime,EndTime,ActivityDuration(hr),Labelled_SAs,Labelled_Acts
1564,Golders Green,19,8,13,H,0
1566,Golders Green,18,8,14,H,0
1576,Golders Green,19,8,13,H,0
1606,Golders Green,18,8,14,H,0
1608,Golders Green,18,7,13,H,0
1609,Golders Green,20,8,12,H,0
1612,Golders Green,23,7,8,H,0
1615,Golders Green,18,8,14,H,0
1620,Golders Green,21,8,11,H,0
1622,Golders Green,18,8,14,H,0
1624,Golders Green,23,7,8,H,0
1626,Golders Green,18,8,14,H,0
1628,Golders Green,21,12,15,H,0
1636,Golders Green,18,8,14,H,0
1638,Golders Green,19,8,13,H,0
1640,Golders Green,18,8,14,H,0
1644,Golders Green,23,7,8,H,0
1648,Golders Green,17,8,15,H,0
1654,Golders Green,23,14,15,H,0
1655,Golders Green,16,8,16,H,0
1657,Golders Green,21,7,10,H,0
1659,Golders Green,18,8,14,H,0
1661,Golders Green,23,15,16,H,0
1663,Golders Green,18,8,14,H,0
1665,Golders Green,22,7,9,H,0
1666,Golders Green,23,7,8,H,0
1668,Golders Green,18,8,14,H,0
1671,Golders Green,23,8,9,H,0
1673,Golders Green,18,8,14,H,0
1675,Golders Green,22,13,15,H,0
1677,Golders Green,18,8,14,H,0
1679,Golders Green,18,8,14,H,0
1681,Golders Green,23,8,9,H,0
1683,Golders Green,18,8,14,H,0
1687,Golders Green,18,8,14,H,0
1689,Golders Green,18,10,16,H,0
1696,Golders Green,18,11,17,H,0
1699,Golders Green,18,8,14,H,0
1701,Golders Green,18,8,14,H,0
1703,Golders Green,18,8,14,H,0
1705,Golders Green,19,8,13,H,0
1707,Golders Green,18,8,14,H,0
1709,Golders Green,17,8,15,H,0
1444,Warwick Avenue,17,8,15,H,0
1446,Warwick Avenue,17,6,13,H,0
1448,Warwick Avenue,17,8,15,H,0
1449,Warwick Avenue,19,6,11,H,0
1454,Warwick Avenue,20,9,13,H,0
1456,Warwick Avenue,20,9,13,H,0
1458,Warwick Avenue,23,8,9,H,0
1460,Warwick Avenue,23,11,12,H,0
1463,Warwick Avenue,21,8,11,H,0
1465,Warwick Avenue,22,9,11,H,0
1472,Warwick Avenue,22,9,11,H,0
1475,Warwick Avenue,19,9,14,H,0
1477,Warwick Avenue,23,13,14,H,0
1479,Warwick Avenue,23,9,10,H,0
1481,Warwick Avenue,20,8,12,H,0
1482,Warwick Avenue,21,7,10,H,0
1483,Warwick Avenue,21,10,13,H,0
1489,Warwick Avenue,21,8,11,H,0
1916,Canada Water,18,8,14,H,0
1920,Canada Water,18,10,16,H,0
1923,Canada Water,21,10,13,H,0
1925,Canada Water,20,9,13,H,0
1927,Canada Water,21,9,12,H,0
1931,Canada Water,18,9,15,H,0
1933,Canada Water,18,9,15,H,0
1935,Canada Water,17,9,16,H,0
1937,Canada Water,17,8,15,H,0
1940,Canada Water,21,9,12,H,0
1941,Canada Water,22,10,12,H,0
1948,Canada Water,19,9,14,H,0
1950,Canada Water,20,10,14,H,0
1953,Canada Water,20,9,13,H,0
1955,Canada Water,18,10,16,H,0
1957,Canada Water,20,9,13,H,0
1958,Canada Water,21,8,11,H,0
1960,Canada Water,19,9,14,H,0
1962,Canada Water,20,9,13,H,0
1963,Canada Water,18,10,16,H,0
1967,Canada Water,20,8,12,H,0
1970,Canada Water,20,9,13,H,0
1974,Canada Water,18,9,15,H,0
1976,Canada Water,20,9,13,H,0
1979,Canada Water,18,8,14,H,0
1983,Canada Water,17,8,15,H,0
1986,Canada Water,21,10,13,H,0
1988,Canada Water,20,9,13,H,0
1990,Canada Water,21,9,12,H,0
1994,Canada Water,18,9,15,H,0
1996,Canada Water,18,9,15,H,0
2000,Canada Water,20,8,12,H,0
2003,Canada Water,21,9,12,H,0
2004,Canada Water,22,10,12,H,0
2008,Canada Water,22,10,12,H,0
2011,Canada Water,19,9,14,H,0
2013,Canada Water,20,10,14,H,0
2016,Canada Water,20,9,13,H,0
2018,Canada Water,17,8,15,H,0
2020,Canada Water,20,9,13,H,0
2021,Canada Water,21,8,11,H,0
2023,Canada Water,19,9,14,H,0
2025,Canada Water,20,9,13,H,0
2026,Canada Water,18,10,16,H,0
2033,Canada Water,20,9,13,H,0
2035,Canada Water,18,9,15,H,0
2037,Canada Water,18,9,15,H,0
2039,Canada Water,20,9,13,H,0
1497,Ewell West,15,8,17,H,0
1499,Ewell West,16,9,17,H,0
1501,Ewell West,16,8,16,H,0
1505,Ewell West,16,8,16,H,0
1507,Ewell West,16,8,16,H,0
1509,Ewell West,16,8,16,H,0
1513,Ewell West,16,8,16,H,0
1515,Ewell West,16,8,16,H,0
1520,Ewell West,17,8,15,H,0
1523,Ewell West,17,9,16,H,0
1526,Ewell West,18,10,16,H,0
1528,Ewell West,23,8,9,H,0
1530,Ewell West,18,8,14,H,0
1533,Ewell West,17,8,15,H,0
1535,Ewell West,17,8,15,H,0
1537,Ewell West,17,8,15,H,0
1539,Ewell West,17,8,15,H,0
1541,Ewell West,17,8,15,H,0
1543,Ewell West,17,8,15,H,0
1547,Ewell West,17,8,15,H,0
1551,Ewell West,17,8,15,H,0
1553,Ewell West,17,8,15,H,0
1556,Ewell West,17,9,16,H,0
1558,Ewell West,17,8,15,H,0
1560,Ewell West,17,8,15,H,0
1562,Ewell West,17,8,15,H,0
1262,Kings Cross St. Pancras,21,9,12,H,0
1267,Kings Cross St. Pancras,18,9,15,H,0
1269,Kings Cross St. Pancras,18,9,15,H,0
1272,Kentish Town,18,7,13,H,0
1282,Kings Cross St. Pancras,17,9,16,H,0
1285,Kings Cross St. Pancras,18,9,15,H,0
1287,Kings Cross St. Pancras,21,9,12,H,0
1291,Kings Cross St. Pancras,18,9,15,H,0
1293,Kings Cross St. Pancras,18,9,15,H,0
1295,Kings Cross St. Pancras,18,9,15,H,0
1297,Kings Cross St. Pancras,17,9,16,H,0
1304,Kings Cross St. Pancras,17,9,16,H,0
1307,Kings Cross St. Pancras,18,9,15,H,0
1309,Kings Cross St. Pancras,23,9,10,H,0
